Message Name,Field Def #,Field Name,Field Type,Array,Components,Scale,Offset,Units,Bits,Accumulate,Ref Field Name,Ref Field Value,Comment,Products:,EXAMPLE
,1,sample_time_offset,uint16,[N],,,,ms,,,,,Each time in the array describes the time at which the accelerometer sample with the corrosponding index was taken. Limited to 30 samples in each message. The samples may span across seconds. Array size must match the number of samples in accel_x and accel_y and accel_z,,
,2,accel_x,uint16,[N],,,,counts,,,,,These are the raw ADC reading. Maximum number of samples is 30 in each message. The samples may span across seconds. A conversion will need to be done on this data once read.,,
,3,accel_y,uint16,[N],,,,counts,,,,,These are the raw ADC reading. Maximum number of samples is 30 in each message. The samples may span across seconds. A conversion will need to be done on this data once read.,,
,4,accel_z,uint16,[N],,,,counts,,,,,These are the raw ADC reading. Maximum number of samples is 30 in each message. The samples may span across seconds. A conversion will need to be done on this data once read.,,
,5,calibrated_accel_x,float32,[N],,,,g,,,,,Calibrated accel reading,,
,6,calibrated_accel_y,float32,[N],,,,g,,,,,Calibrated accel reading,,
,7,calibrated_accel_z,float32,[N],,,,g,,,,,Calibrated accel reading,,
,8,compressed_calibrated_accel_x,sint16,[N],,,,mG,,,,,Calibrated accel reading,,
,9,compressed_calibrated_accel_y,sint16,[N],,,,mG,,,,,Calibrated accel reading,,
,10,compressed_calibrated_accel_z,sint16,[N],,,,mG,,,,,Calibrated accel reading,,
magnetometer_data,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Whole second part of the timestamp,,
,0,timestamp_ms,uint16,,,,,ms,,,,,Millisecond part of the timestamp.,,
,1,sample_time_offset,uint16,[N],,,,ms,,,,,Each time in the array describes the time at which the compass sample with the corrosponding index was taken. Limited to 30 samples in each message. The samples may span across seconds. Array size must match the number of samples in cmps_x and cmps_y and cmps_z,,
,2,mag_x,uint16,[N],,,,counts,,,,,These are the raw ADC reading. Maximum number of samples is 30 in each message. The samples may span across seconds. A conversion will need to be done on this data once read.,,
,3,mag_y,uint16,[N],,,,counts,,,,,These are the raw ADC reading. Maximum number of samples is 30 in each message. The samples may span across seconds. A conversion will need to be done on this data once read.,,
,4,mag_z,uint16,[N],,,,counts,,,,,These are the raw ADC reading. Maximum number of samples is 30 in each message. The samples may span across seconds. A conversion will need to be done on this data once read.,,
,5,calibrated_mag_x,float32,[N],,,,G,,,,,Calibrated Magnetometer reading,,
,6,calibrated_mag_y,float32,[N],,,,G,,,,,Calibrated Magnetometer reading,,
,7,calibrated_mag_z,float32,[N],,,,G,,,,,Calibrated Magnetometer reading,,
barometer_data,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Whole second part of the timestamp,,
,0,timestamp_ms,uint16,,,,,ms,,,,,Millisecond part of the timestamp.,,
,1,sample_time_offset,uint16,[N],,,,ms,,,,,Each time in the array describes the time at which the barometer sample with the corrosponding index was taken. The samples may span across seconds. Array size must match the number of samples in baro_cal,,
,2,baro_pres,uint32,[N],,,,Pa,,,,,These are the raw ADC reading. The samples may span across seconds. A conversion will need to be done on this data once read.,,
three_d_sensor_calibration,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Whole second part of the timestamp,,
,0,sensor_type,sensor_type,,,,,,,,,,Indicates which sensor the calibration is for,,
,1,calibration_factor,uint32,,,,,,,,,,"Calibration factor used to convert from raw ADC value to degrees, g, etc.",,
,,accel_cal_factor,uint32,,,,,g,,,sensor_type,accelerometer,Accelerometer calibration factor,,
,,gyro_cal_factor,uint32,,,,,deg/s,,,sensor_type,gyroscope,Gyro calibration factor,,
,2,calibration_divisor,uint32,,,,,counts,,,,,Calibration factor divisor,,
,3,level_shift,uint32,,,,,,,,,,Level shift value used to shift the ADC value back into range,,
,4,offset_cal,sint32,[3],,,,,,,,,"Internal calibration factors, one for each: xy, yx, zx",,
,5,orientation_matrix,sint32,[9],,65535,,,,,,,3 x 3 rotation matrix (row major),,
one_d_sensor_calibration,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Whole second part of the timestamp,,
,0,sensor_type,sensor_type,,,,,,,,,,Indicates which sensor the calibration is for,,
,1,calibration_factor,uint32,,,,,,,,,,"Calibration factor used to convert from raw ADC value to degrees, g, etc.",,
,,baro_cal_factor,uint32,,,,,Pa,,,sensor_type,barometer,Barometer calibration factor,,
,2,calibration_divisor,uint32,,,,,counts,,,,,Calibration factor divisor,,
,3,level_shift,uint32,,,,,,,,,,Level shift value used to shift the ADC value back into range,,
,4,offset_cal,sint32,,,,,,,,,,Internal Calibration factor,,
video_frame,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Whole second part of the timestamp,,
,0,timestamp_ms,uint16,,,,,ms,,,,,Millisecond part of the timestamp.,,
,1,frame_number,uint32,,,,,,,,,,Number of the frame that the timestamp and timestamp_ms correlate to,,
obdii_data,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Timestamp message was output,,
,0,timestamp_ms,uint16,,,,,ms,,,,,"Fractional part of timestamp, added to timestamp",,
,1,time_offset,uint16,[N],,,,ms,,,,,Offset of PID reading [i] from start_timestamp+start_timestamp_ms. Readings may span accross seconds.,,
,2,pid,byte,,,,,,,,,,Parameter ID,,
,3,raw_data,byte,[N],,,,,,,,,Raw parameter data,,
,4,pid_data_size,uint8,[N],,,,,,,,,"Optional, data size of PID[i]. If not specified refer to SAE J1979.",,
,5,system_time,uint32,[N],,,,,,,,,"System time associated with sample expressed in ms, can be used instead of time_offset. There will be a system_time value for each raw_data element. For multibyte pids the system_time is repeated.",,
,6,start_timestamp,date_time,,,,,,,,,,Timestamp of first sample recorded in the message. Used with time_offset to generate time of each sample,,
,7,start_timestamp_ms,uint16,,,,,ms,,,,,Fractional part of start_timestamp,,
nmea_sentence,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Timestamp message was output,,1
,0,timestamp_ms,uint16,,,,,ms,,,,,"Fractional part of timestamp, added to timestamp",,1
,1,sentence,string,,,,,,,,,,NMEA sentence,,83
aviation_attitude,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Timestamp message was output,,1
,0,timestamp_ms,uint16,,,,,ms,,,,,"Fractional part of timestamp, added to timestamp",,1
,1,system_time,uint32,[N],,,,ms,,,,,System time associated with sample expressed in ms.,,1
,2,pitch,sint16,[N],,10430.38,,radians,,,,,Range -PI/2 to +PI/2,,1
,3,roll,sint16,[N],,10430.38,,radians,,,,,Range -PI to +PI,,1
,4,accel_lateral,sint16,[N],,100,,m/s^2,,,,,Range -78.4 to +78.4 (-8 Gs to 8 Gs),,1
,5,accel_normal,sint16,[N],,100,,m/s^2,,,,,Range -78.4 to +78.4 (-8 Gs to 8 Gs),,1
,6,turn_rate,sint16,[N],,1024,,radians/second,,,,,Range -8.727 to +8.727 (-500 degs/sec to +500 degs/sec),,1
,7,stage,attitude_stage,[N],,,,,,,,,,,1
,8,attitude_stage_complete,uint8,[N],,,,%,,,,,"The percent complete of the current attitude stage. Set to 0 for attitude stages 0, 1 and 2 and to 100 for attitude stage 3 by AHRS modules that do not support it. Range - 100",,1
,9,track,uint16,[N],,10430.38,,radians,,,,,Track Angle/Heading Range 0 - 2pi,,1
,10,validity,attitude_validity,[N],,,,,,,,,,,1
video,,,,,,,,,,,,,,,
,0,url,string,,,,,,,,,,,,
,1,hosting_provider,string,,,,,,,,,,,,
,2,duration,uint32,,,,,ms,,,,,Playback time of video,,
video_title,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,Long titles will be split into multiple parts,,1
,0,message_count,uint16,,,,,,,,,,Total number of title parts,,1
,1,text,string,,,,,,,,,,,,80
video_description,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,Long descriptions will be split into multiple parts,,1
,0,message_count,uint16,,,,,,,,,,Total number of description parts,,1
,1,text,string,,,,,,,,,,,,250
video_clip,,,,,,,,,,,,,,,
,0,clip_number,uint16,,,,,,,,,,,,
,1,start_timestamp,date_time,,,,,,,,,,,,
,2,start_timestamp_ms,uint16,,,,,,,,,,,,
,3,end_timestamp,date_time,,,,,,,,,,,,
,4,end_timestamp_ms,uint16,,,,,,,,,,,,
,6,clip_start,uint32,,,,,ms,,,,,Start of clip in video time,,
,7,clip_end,uint32,,,,,ms,,,,,End of clip in video time,,
set,,,,,,,,,,,,,,,
,254,timestamp,date_time,,,,,,,,,,Timestamp of the set,,
,0,duration,uint32,,,1000,,s,,,,,,,
,3,repetitions,uint16,,,,,,,,,,# of repitions of the movement,,
,4,weight,uint16,,,16,,kg,,,,,Amount of weight applied for the set,,
,5,set_type,set_type,,,,,,,,,,,,
,6,start_time,date_time,,,,,,,,,,Start time of the set,,
,7,category,exercise_category,[N],,,,,,,,,,,
,8,category_subtype,uint16,[N],,,,,,,,,"Based on the associated category, see [category]_exercise_names",,
,9,weight_display_unit,fit_base_unit,,,,,,,,,,,,1
,10,message_index,message_index,,,,,,,,,,,,
,11,wkt_step_index,message_index,,,,,,,,,,,,
jump,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,,,
,0,distance,float32,,,,,m,,,,,,,
,1,height,float32,,,,,m,,,,,,,
,2,rotations,uint8,,,,,,,,,,,,
,3,hang_time,float32,,,,,s,,,,,,,
,4,score,float32,,,,,,,,,,"A score for a jump calculated based on hang time, rotations, and distance.",,
,5,position_lat,sint32,,,,,semicircles,,,,,,,
,6,position_long,sint32,,,,,semicircles,,,,,,,
,7,speed,uint16,,enhanced_speed,1000,,m/s,16,,,,,,
,8,enhanced_speed,uint32,,,1000,,m/s,,,,,,,
split,,,,,,,,,,,,,,,
,0,split_type,split_type,,,,,,,,,,,,
,1,total_elapsed_time,uint32,,,1000,,s,,,,,,,
,2,total_timer_time,uint32,,,1000,,s,,,,,,,
,3,total_distance,uint32,,,100,,m,,,,,,,
,9,start_time,date_time,,,,,,,,,,,,
climb_pro,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,,,
,0,position_lat,sint32,,,,,semicircles,,,,,,,
,1,position_long,sint32,,,,,semicircles,,,,,,,
,2,climb_pro_event,climb_pro_event,,,,,,,,,,,,
,3,climb_number,uint16,,,,,,,,,,,,
,4,climb_category,uint8,,,,,,,,,,,,
,5,current_dist,float32,,,,,m,,,,,,,
field_description,,,,,,,,,,,,,Must be logged before developer field is used,,
,0,developer_data_index,uint8,,,,,,,,,,,,1
,1,field_definition_number,uint8,,,,,,,,,,,,1
,2,fit_base_type_id,fit_base_type,,,,,,,,,,,,1
,3,field_name,string,[N],,,,,,,,,,,64
,4,array,uint8,,,,,,,,,,,,0
,5,components,string,,,,,,,,,,,,0
,6,scale,uint8,,,,,,,,,,,,1
,7,offset,sint8,,,,,,,,,,,,1
,8,units,string,[N],,,,,,,,,,,16
,9,bits,string,,,,,,,,,,,,0
,10,accumulate,string,,,,,,,,,,,,0
,13,fit_base_unit_id,fit_base_unit,,,,,,,,,,,,1
,14,native_mesg_num,mesg_num,,,,,,,,,,,,1
,15,native_field_num,uint8,,,,,,,,,,,,1
developer_data_id,,,,,,,,,,,,,Must be logged before field description,,
,0,developer_id,byte,[N],,,,,,,,,,,16
,1,application_id,byte,[N],,,,,,,,,,,16
,2,manufacturer_id,manufacturer,,,,,,,,,,,,1
,3,developer_data_index,uint8,,,,,,,,,,,,1
,4,application_version,uint32,,,,,,,,,,,,1
,,,COURSE FILE MESSAGES,,,,,,,,,,,,
course,,,,,,,,,,,,,,,
,4,sport,sport,,,,,,,,,,,,1
,5,name,string,,,,,,,,,,,,16
,6,capabilities,course_capabilities,,,,,,,,,,,,1
,7,sub_sport,sub_sport,,,,,,,,,,,,1
course_point,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,timestamp,date_time,,,,,,,,,,,,1
,2,position_lat,sint32,,,,,semicircles,,,,,,,1
,3,position_long,sint32,,,,,semicircles,,,,,,,1
,4,distance,uint32,,,100,,m,,,,,,,1
,5,type,course_point,,,,,,,,,,,,1
,6,name,string,,,,,,,,,,,,16
,8,favorite,bool,,,,,,,,,,,,1
,,,SEGMENT FILE MESSAGES,,,,,,,,,,,,
segment_id,,,,,,,,,,,,,Unique Identification data for a segment file,,
,0,name,string,,,,,,,,,,Friendly name assigned to segment,,1
,1,uuid,string,,,,,,,,,,UUID of the segment,,1
,2,sport,sport,,,,,,,,,,Sport associated with the segment,,1
,3,enabled,bool,,,,,,,,,,Segment enabled for evaluation,,1
,4,user_profile_primary_key,uint32,,,,,,,,,,Primary key of the user that created the segment,,1
,5,device_id,uint32,,,,,,,,,,ID of the device that created the segment,,1
,6,default_race_leader,uint8,,,,,,,,,,Index for the Leader Board entry selected as the default race participant,,1
,7,delete_status,segment_delete_status,,,,,,,,,,Indicates if any segments should be deleted,,1
,8,selection_type,segment_selection_type,,,,,,,,,,Indicates how the segment was selected to be sent to the device,,1
segment_leaderboard_entry,,,,,,,,,,,,,Unique Identification data for an individual segment leader within a segment file,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,name,string,,,,,,,,,,Friendly name assigned to leader,,1
,1,type,segment_leaderboard_type,,,,,,,,,,Leader classification,,1
,2,group_primary_key,uint32,,,,,,,,,,Primary user ID of this leader,,1
,3,activity_id,uint32,,,,,,,,,,ID of the activity associated with this leader time,,1
,4,segment_time,uint32,,,1000,,s,,,,,Segment Time (includes pauses),,1
,5,activity_id_string,string,,,,,,,,,,"String version of the activity_id. 21 characters long, express in decimal",,
segment_point,,,,,,,,,,,,,Navigation and race evaluation point for a segment decribing a point along the segment path and time it took each segment leader to reach that point,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,position_lat,sint32,,,,,semicircles,,,,,,,1
,2,position_long,sint32,,,,,semicircles,,,,,,,1
,3,distance,uint32,,,100,,m,,,,,Accumulated distance along the segment at the described point,,1
,4,altitude,uint16,,enhanced_altitude,5,500,m,16,,,,Accumulated altitude along the segment at the described point,,1
,5,leader_time,uint32,[N],,1000,,s,,,,,Accumualted time each leader board member required to reach the described point. This value is zero for all leader board members at the starting point of the segment.,,1
,6,enhanced_altitude,uint32,,,5,500,m,,,,,Accumulated altitude along the segment at the described point,,
segment_lap,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,s,,,,,Lap end time.,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,start_position_lat,sint32,,,,,semicircles,,,,,,,1
,4,start_position_long,sint32,,,,,semicircles,,,,,,,1
,5,end_position_lat,sint32,,,,,semicircles,,,,,,,1
,6,end_position_long,sint32,,,,,semicircles,,,,,,,1
,7,total_elapsed_time,uint32,,,1000,,s,,,,,Time (includes pauses),,1
,8,total_timer_time,uint32,,,1000,,s,,,,,Timer Time (excludes pauses),,1
,9,total_distance,uint32,,,100,,m,,,,,,,1
,10,total_cycles,uint32,,,,,cycles,,,,,,,1
,,total_strokes,uint32,,,,,strokes,,,sport,cycling,,,1
,11,total_calories,uint16,,,,,kcal,,,,,,,1
,12,total_fat_calories,uint16,,,,,kcal,,,,,If New Leaf,,1
,13,avg_speed,uint16,,,1000,,m/s,,,,,,,1
,14,max_speed,uint16,,,1000,,m/s,,,,,,,1
,15,avg_heart_rate,uint8,,,,,bpm,,,,,,,1
,16,max_heart_rate,uint8,,,,,bpm,,,,,,,1
,17,avg_cadence,uint8,,,,,rpm,,,,,total_cycles / total_timer_time if non_zero_avg_cadence otherwise total_cycles / total_elapsed_time,,1
,18,max_cadence,uint8,,,,,rpm,,,,,,,1
,19,avg_power,uint16,,,,,watts,,,,,total_power / total_timer_time if non_zero_avg_power otherwise total_power / total_elapsed_time,,1
,20,max_power,uint16,,,,,watts,,,,,,,1
,21,total_ascent,uint16,,,,,m,,,,,,,1
,22,total_descent,uint16,,,,,m,,,,,,,1
,23,sport,sport,,,,,,,,,,,,1
,24,event_group,uint8,,,,,,,,,,,,1
,25,nec_lat,sint32,,,,,semicircles,,,,,North east corner latitude.,,1
,26,nec_long,sint32,,,,,semicircles,,,,,North east corner longitude.,,1
,27,swc_lat,sint32,,,,,semicircles,,,,,South west corner latitude.,,1
,28,swc_long,sint32,,,,,semicircles,,,,,South west corner latitude.,,1
,29,name,string,,,,,,,,,,,,16
,30,normalized_power,uint16,,,,,watts,,,,,,,1
,31,left_right_balance,left_right_balance_100,,,,,,,,,,,,1
,32,sub_sport,sub_sport,,,,,,,,,,,,1
,33,total_work,uint32,,,,,J,,,,,,,1
,34,avg_altitude,uint16,,enhanced_avg_altitude,5,500,m,16,,,,,,1
,35,max_altitude,uint16,,enhanced_max_altitude,5,500,m,16,,,,,,1
,36,gps_accuracy,uint8,,,,,m,,,,,,,1
,37,avg_grade,sint16,,,100,,%,,,,,,,1
,38,avg_pos_grade,sint16,,,100,,%,,,,,,,1
,39,avg_neg_grade,sint16,,,100,,%,,,,,,,1
,40,max_pos_grade,sint16,,,100,,%,,,,,,,1
,41,max_neg_grade,sint16,,,100,,%,,,,,,,1
,42,avg_temperature,sint8,,,,,C,,,,,,,1
,43,max_temperature,sint8,,,,,C,,,,,,,1
,44,total_moving_time,uint32,,,1000,,s,,,,,,,1
,45,avg_pos_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,46,avg_neg_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,47,max_pos_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,48,max_neg_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,49,time_in_hr_zone,uint32,[N],,1000,,s,,,,,,,1
,50,time_in_speed_zone,uint32,[N],,1000,,s,,,,,,,1
,51,time_in_cadence_zone,uint32,[N],,1000,,s,,,,,,,1
,52,time_in_power_zone,uint32,[N],,1000,,s,,,,,,,1
,53,repetition_num,uint16,,,,,,,,,,,,1
,54,min_altitude,uint16,,enhanced_min_altitude,5,500,m,16,,,,,,1
,55,min_heart_rate,uint8,,,,,bpm,,,,,,,1
,56,active_time,uint32,,,1000,,s,,,,,,,1
,57,wkt_step_index,message_index,,,,,,,,,,,,1
,58,sport_event,sport_event,,,,,,,,,,,,1
,59,avg_left_torque_effectiveness,uint8,,,2,,percent,,,,,,,1
,60,avg_right_torque_effectiveness,uint8,,,2,,percent,,,,,,,1
,61,avg_left_pedal_smoothness,uint8,,,2,,percent,,,,,,,1
,62,avg_right_pedal_smoothness,uint8,,,2,,percent,,,,,,,1
,63,avg_combined_pedal_smoothness,uint8,,,2,,percent,,,,,,,1
,64,status,segment_lap_status,,,,,,,,,,,,1
,65,uuid,string,,,,,,,,,,,,33
,66,avg_fractional_cadence,uint8,,,128,,rpm,,,,,fractional part of the avg_cadence,,1
,67,max_fractional_cadence,uint8,,,128,,rpm,,,,,fractional part of the max_cadence,,1
,68,total_fractional_cycles,uint8,,,128,,cycles,,,,,fractional part of the total_cycles,,1
,69,front_gear_shift_count,uint16,,,,,,,,,,,,1
,70,rear_gear_shift_count,uint16,,,,,,,,,,,,1
,71,time_standing,uint32,,,1000,,s,,,,,Total time spent in the standing position,,
,72,stand_count,uint16,,,,,,,,,,Number of transitions to the standing state,,
,73,avg_left_pco,sint8,,,,,mm,,,,,Average left platform center offset,,
,74,avg_right_pco,sint8,,,,,mm,,,,,Average right platform center offset,,
,75,avg_left_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Average left power phase angles. Data value indexes defined by power_phase_type.,,
,76,avg_left_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average left power phase peak angles. Data value indexes defined by power_phase_type.,,
,77,avg_right_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase angles. Data value indexes defined by power_phase_type.,,
,78,avg_right_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase peak angles. Data value indexes defined by power_phase_type.,,
,79,avg_power_position,uint16,[N],,,,watts,,,,,Average power by position. Data value indexes defined by rider_position_type.,,
,80,max_power_position,uint16,[N],,,,watts,,,,,Maximum power by position. Data value indexes defined by rider_position_type.,,
,81,avg_cadence_position,uint8,[N],,,,rpm,,,,,Average cadence by position. Data value indexes defined by rider_position_type.,,
,82,max_cadence_position,uint8,[N],,,,rpm,,,,,Maximum cadence by position. Data value indexes defined by rider_position_type.,,
,83,manufacturer,manufacturer,,,,,,,,,,Manufacturer that produced the segment,,
,84,total_grit,float32,,,,,kGrit,,,,,The grit score estimates how challenging a route could be for a cyclist in terms of time spent going over sharp turns or large grade slopes.,,
,85,total_flow,float32,,,,,Flow,,,,,The flow score estimates how long distance wise a cyclist deaccelerates over intervals where deacceleration is unnecessary such as smooth turns or small grade angle intervals.,,
,86,avg_grit,float32,,,,,kGrit,,,,,The grit score estimates how challenging a route could be for a cyclist in terms of time spent going over sharp turns or large grade slopes.,,
,87,avg_flow,float32,,,,,Flow,,,,,The flow score estimates how long distance wise a cyclist deaccelerates over intervals where deacceleration is unnecessary such as smooth turns or small grade angle intervals.,,
,89,total_fractional_ascent,uint8,,,100,,m,,,,,fractional part of total_ascent,,
,90,total_fractional_descent,uint8,,,100,,m,,,,,fractional part of total_descent,,
,91,enhanced_avg_altitude,uint32,,,5,500,m,,,,,,,
,92,enhanced_max_altitude,uint32,,,5,500,m,,,,,,,
,93,enhanced_min_altitude,uint32,,,5,500,m,,,,,,,
,,,SEGMENT LIST FILE MESSAGES,,,,,,,,,,,,
segment_file,,,,,,,,,,,,,Summary of the unique segment and leaderboard information associated with a segment file. This message is used to compile a segment list file describing all segment files on a device. The segment list file is used when refreshing the contents of a segment file with the latest available leaderboard information.,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,file_uuid,string,,,,,,,,,,UUID of the segment file,,1
,3,enabled,bool,,,,,,,,,,Enabled state of the segment file,,1
,4,user_profile_primary_key,uint32,,,,,,,,,,Primary key of the user that created the segment file,,1
,7,leader_type,segment_leaderboard_type,[N],,,,,,,,,Leader type of each leader in the segment file,,1
,8,leader_group_primary_key,uint32,[N],,,,,,,,,Group primary key of each leader in the segment file,,1
,9,leader_activity_id,uint32,[N],,,,,,,,,Activity ID of each leader in the segment file,,1
,10,leader_activity_id_string,string,[N],,,,,,,,,"String version of the activity ID of each leader in the segment file. 21 characters long for each ID, express in decimal",,
,11,default_race_leader,uint8,,,,,,,,,,Index for the Leader Board entry selected as the default race participant,,
,,,WORKOUT FILE MESSAGES,,,,,,,,,,,,
workout,,,,,,,,,,,,,,,
,4,sport,sport,,,,,,,,,,,,1
,5,capabilities,workout_capabilities,,,,,,,,,,,,1
,6,num_valid_steps,uint16,,,,,,,,,,number of valid steps,,1
,8,wkt_name,string,,,,,,,,,,,,16
,11,sub_sport,sub_sport,,,,,,,,,,,,1
,14,pool_length,uint16,,,100,,m,,,,,,,1
,15,pool_length_unit,display_measure,,,,,,,,,,,,1
workout_session,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,sport,sport,,,,,,,,,,,,1
,1,sub_sport,sub_sport,,,,,,,,,,,,1
,2,num_valid_steps,uint16,,,,,,,,,,,,1
,3,first_step_index,uint16,,,,,,,,,,,,1
,4,pool_length,uint16,,,100,,m,,,,,,,1
,5,pool_length_unit,display_measure,,,,,,,,,,,,1
workout_step,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,wkt_step_name,string,,,,,,,,,,,,16
,1,duration_type,wkt_step_duration,,,,,,,,,,,,1
,2,duration_value,uint32,,,,,,,,,,,,1
,,duration_time,uint32,,,1000,,s,,,"duration_type,duration_type","time,repetition_time",,,1
,,duration_distance,uint32,,,100,,m,,,duration_type,distance,,,1
,,duration_hr,workout_hr,,,,,% or bpm,,,"duration_type,duration_type","hr_less_than,hr_greater_than",,,1
,,duration_calories,uint32,,,,,calories,,,duration_type,calories,,,1
,,duration_step,uint32,,,,,,,,"duration_type,duration_type,duration_type,duration_type,duration_type,duration_type,duration_type,duration_type","repeat_until_steps_cmplt,repeat_until_time,repeat_until_distance,repeat_until_calories,repeat_until_hr_less_than,repeat_until_hr_greater_than,repeat_until_power_less_than,repeat_until_power_greater_than",message_index of step to loop back to. Steps are assumed to be in the order by message_index. custom_name and intensity members are undefined for this duration type.,,1
,,duration_power,workout_power,,,,,% or watts,,,"duration_type,duration_type","power_less_than,power_greater_than",,,1
,,duration_reps,uint32,,,,,,,,duration_type,reps,,,1
,3,target_type,wkt_step_target,,,,,,,,,,,,1
,4,target_value,uint32,,,,,,,,,,,,1
,,target_speed_zone,uint32,,,,,,,,target_type,speed,speed zone (1-10);Custom =0;,,1
,,target_hr_zone,uint32,,,,,,,,target_type,heart_rate,hr zone (1-5);Custom =0;,,1
,,target_cadence_zone,uint32,,,,,,,,target_type,cadence,Zone (1-?); Custom = 0;,,1
,,target_power_zone,uint32,,,,,,,,target_type,power,Power Zone ( 1-7); Custom = 0;,,1
,,repeat_steps,uint32,,,,,,,,duration_type,repeat_until_steps_cmplt,# of repetitions,,1
,,repeat_time,uint32,,,1000,,s,,,duration_type,repeat_until_time,,,1
,,repeat_distance,uint32,,,100,,m,,,duration_type,repeat_until_distance,,,1
,,repeat_calories,uint32,,,,,calories,,,duration_type,repeat_until_calories,,,1
,,repeat_hr,workout_hr,,,,,% or bpm,,,"duration_type,duration_type","repeat_until_hr_less_than,repeat_until_hr_greater_than",,,1
,,repeat_power,workout_power,,,,,% or watts,,,"duration_type,duration_type","repeat_until_power_less_than,repeat_until_power_greater_than",,,1
,,target_stroke_type,swim_stroke,,,,,,,,target_type,swim_stroke,,,1
,5,custom_target_value_low,uint32,,,,,,,,,,,,1
,,custom_target_speed_low,uint32,,,1000,,m/s,,,target_type,speed,,,1
,,custom_target_heart_rate_low,workout_hr,,,,,% or bpm,,,target_type,heart_rate,,,1
,,custom_target_cadence_low,uint32,,,,,rpm,,,target_type,cadence,,,1
,,custom_target_power_low,workout_power,,,,,% or watts,,,target_type,power,,,1
,6,custom_target_value_high,uint32,,,,,,,,,,,,1
,,custom_target_speed_high,uint32,,,1000,,m/s,,,target_type,speed,,,1
,,custom_target_heart_rate_high,workout_hr,,,,,% or bpm,,,target_type,heart_rate,,,1
,,custom_target_cadence_high,uint32,,,,,rpm,,,target_type,cadence,,,1
,,custom_target_power_high,workout_power,,,,,% or watts,,,target_type,power,,,1
,7,intensity,intensity,,,,,,,,,,,,1
,8,notes,string,,,,,,,,,,,,50
,9,equipment,workout_equipment,,,,,,,,,,,,1
,10,exercise_category,exercise_category,,,,,,,,,,,,1
,11,exercise_name,uint16,,,,,,,,,,,,
,12,exercise_weight,uint16,,,100,,kg,,,,,,,
,13,weight_display_unit,fit_base_unit,,,,,,,,,,,,
,19,secondary_target_type,wkt_step_target,,,,,,,,,,,,1
,20,secondary_target_value,uint32,,,,,,,,,,,,1
,,secondary_target_speed_zone,uint32,,,,,,,,secondary_target_type,speed,speed zone (1-10);Custom =0;,,1
,,secondary_target_hr_zone,uint32,,,,,,,,secondary_target_type,heart_rate,hr zone (1-5);Custom =0;,,1
,,secondary_target_cadence_zone,uint32,,,,,,,,secondary_target_type,cadence,Zone (1-?); Custom = 0;,,1
,,secondary_target_power_zone,uint32,,,,,,,,secondary_target_type,power,Power Zone ( 1-7); Custom = 0;,,1
,,secondary_target_stroke_type,swim_stroke,,,,,,,,secondary_target_type,swim_stroke,,,1
,21,secondary_custom_target_value_low,uint32,,,,,,,,,,,,1
,,secondary_custom_target_speed_low,uint32,,,1000,,m/s,,,secondary_target_type,speed,,,1
,,secondary_custom_target_heart_rate_low,workout_hr,,,,,% or bpm,,,secondary_target_type,heart_rate,,,1
,,secondary_custom_target_cadence_low,uint32,,,,,rpm,,,secondary_target_type,cadence,,,1
,,secondary_custom_target_power_low,workout_power,,,,,% or watts,,,secondary_target_type,power,,,1
